"group","userid","user","pre_score","post_score","delay_score","map_score","feedbacks","stid","post_nc","post_ng","delay_nc","delay_ng","sm_score","activity_score","assignment","attitude","midterm_quiz","final_quiz","final_project","total_score","grade"
"cont","562","stu58",19,18,17,NA,NA,"1402020057",-0.0526315789473684,-1,-0.105263157894737,-2,90,90,100,100,92.1,98.775,97.5,97.68,"A"
"cont","564","stu60",16,18,16,NA,NA,"1402020032",0.5,0.5,0,0,93.33333333,93.33333333,100,100,82.08,75.8375,96,90.78,"A"
"cont","565","stu61",8,11,13,NA,NA,"1402020092",0.25,0.25,0.416666666666667,0.416666666666667,68.33333333,68.33333333,96.5714,100,76.8,76.68,73,84.61,"A"
"cont","566","stu62",12,12,17,NA,NA,"1402020116",0,0,0.625,0.625,46.42857143,46.42857143,76,100,80.2,63.3375,82.5,80.41,"A"
"cont","567","stu63",20,19,18,NA,NA,"1402020062",-0.05,NA,-0.1,NA,48.92857143,48.92857143,90.7143,100,95.8,83.62,98.5,93.73,"A"
"cont","568","stu64",11,14,17,NA,NA,"1402020083",0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,42.14285714,42.14285714,76.5714,100,84.3,78.495,73,82.47,"A"
"cont","569","stu65",12,12,18,NA,NA,"1402020008",0,0,0.75,0.75,87.61904762,87.61904762,89.2143,100,83.5,88.59,88.5,89.96,"A"
"cont","571","stu67",16,15,16,NA,NA,"1402017084",-0.0625,-0.25,0,0,0,0,99.76,73.36,71.1581,49.3472,48.16,68.36,"B"
"cont","572","stu68",11,14,12,NA,NA,"1402020133",0.333333333333333,0.333333333333333,0.111111111111111,0.111111111111111,69.4047619,69.4047619,69.4286,93,77.8,66.075,76.5,76.56,"A-"
"cont","574","stu70",11,16,17,NA,NA,"1402020112",0.555555555555556,0.555555555555556,0.666666666666667,0.666666666666667,72.14285714,72.14285714,96.0714,100,82.6,76.2475,95,89.98,"A"
"cont","576","stu72",13,11,17,NA,NA,"1402020103",-0.153846153846154,-0.285714285714286,0.571428571428571,0.571428571428571,67.97619048,67.97619048,93.5714,100,76,61.895,85,83.29,"A"
"cont","577","stu73",11,12,16,NA,NA,"1402019069",0.111111111111111,0.111111111111111,0.555555555555556,0.555555555555556,73.21428571,73.21428571,91.5,100,75.766,81.7575,51.5,80.1,"A"
"cont","578","stu74",15,11,15,NA,NA,"1402020043",-0.266666666666667,-0.8,0,0,86.42857143,86.42857143,83.8571,100,75.6,62.0225,59,76.1,"AB"
"cont","579","stu75",13,14,14,NA,NA,"1402019086",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,47.55952381,47.55952381,90.7143,100,63.6,83.4425,50,77.55,"A-"
"cont","580","stu76",12,12,9,NA,NA,"1402020102",0,0,-0.25,-0.375,66.54761905,66.54761905,88.5714,97,67.6,70.0875,73.5,79.35,"A-"
"cont","581","stu77",10,12,11,NA,NA,"1402020073",0.2,0.2,0.1,0.1,68.1547619,68.1547619,80,100,70.2,47.4025,45.5,68.62,"B"
"cont","583","stu79",5,7,7,NA,NA,"1402020023",0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,54.28571429,54.28571429,40,85,52.634,31.0675,68,55.34,"C+"
"cont","584","stu80",14,11,15,NA,NA,"1402020005",-0.214285714285714,-0.5,0.166666666666667,0.166666666666667,62.73809524,62.73809524,84.2143,100,80.4,66.4325,96.5,85.51,"A"
"cont","585","stu81",11,12,10,NA,NA,"1402019040",0.111111111111111,0.111111111111111,-0.0909090909090909,-0.111111111111111,NA,0,25,100,55,37.995,60,55.6,"C+"
"cont","587","stu83",12,14,14,NA,NA,"1402019036",0.25,0.25,0.25,0.25,68.86904762,68.86904762,32.8571,100,59.3,65.8975,0,51.61,"C"
"cont","588","stu84",8,11,17,NA,NA,"1402019071",0.25,0.25,0.75,0.75,45.71428571,45.71428571,73.5714,100,73.566,79.155,52.5,75.76,"AB"
"cont","592","stu88",12,11,17,NA,NA,"1402019009",-0.0833333333333333,-0.125,0.625,0.625,45,45,84.2857,100,77.766,93.3325,52.5,81.58,"A"
"cont","593","stu89",9,11,10,NA,NA,"1402020035",0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,42.26190476,42.26190476,25.7143,65,51.134,20.685,0,32.51,"E"
"cont","594","stu90",8,10,12,NA,NA,"1402019028",0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,18.33333333,18.33333333,57.1429,100,57.966,74.2425,40,65.87,"B"
"cont","598","stu94",10,8,6,NA,NA,"1402018119",-0.2,-0.2,-0.4,-0.4,6.25,6.25,0,30,37.434,3.75,0,14.24,"E"
"cont","599","stu95",6,13,12,NA,NA,"1402020016",0.5,0.5,0.428571428571429,0.428571428571429,0,0,42.1429,100,51.466,37.5725,75,61.24,"BC"
"cont","600","stu96",10,12,12,NA,NA,"1402020079",0.2,0.2,0.2,0.2,49.10714286,49.10714286,65,80,60.1,51.4025,68,64.9,"B-"
"cont","602","stu98",12,16,15,NA,NA,"1402020031",0.5,0.5,0.375,0.375,63.33333333,63.33333333,62.2143,100,57.566,53.225,76.5,69.9,"B+"
"cont","604","stu100",10,13,15,NA,NA,"1402020095",0.3,0.3,0.5,0.5,55.71428571,55.71428571,72.8571,100,69.566,51.1125,45,67.71,"B"
"cont","607","stu103",11,15,12,NA,NA,"1402020138",0.444444444444444,0.444444444444444,0.111111111111111,0.111111111111111,86.25,86.25,48.3571,90.5,50.666,51.255,38.5,55.86,"C+"
"cont","610","stu106",6,5,9,NA,NA,"1402019008",-0.166666666666667,-0.0714285714285714,0.214285714285714,0.214285714285714,49.64285714,49.64285714,30.2857,61,53.2,77.7575,53.5,55.15,"C+"
"cont","611","stu107",8,8,12,NA,NA,"1402018076",0,0,0.333333333333333,0.333333333333333,48.33333333,48.33333333,2.85714,95,38.8,12.5,80,45.83,"CD"
"cont","616","stu112",7,8,13,NA,NA,"1402018185",0.0769230769230769,0.0769230769230769,0.461538461538462,0.461538461538462,28.33333333,28.33333333,30,100,44.8,20.3975,85,56.04,"C+"
"cont","617","stu113",8,6,12,NA,NA,"1402019043",-0.25,-0.166666666666667,0.333333333333333,0.333333333333333,10.71428571,10.71428571,0,55,32.134,48.87,40,35.2,"D"
"exp","447","1402020069",15,19,19,100,110,"1402020069",0.8,0.8,0.8,0.8,NA,100,100,100,93,85.0975,97.5,95.12,"A"
"exp","448","1402020027",17,18,18,100,122,"1402020027",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,NA,100,100,100,83.9,72.0475,83,87.79,"A"
"exp","449","1402020097",16,19,20,100,233,"1402020097",0.75,0.75,1,1,NA,100,99,100,90.8,89.9425,96.5,95.25,"A"
"exp","450","1402020088",10,13,14,50,40,"1402020088",0.3,0.3,0.4,0.4,NA,50,80,100,75.6,54.9825,70,76.12,"AB"
"exp","451","1402020030",16,18,19,92.11,31,"1402020030",0.5,0.5,0.75,0.75,NA,92.11,98.5714,100,86.6,81.5275,82.5,89.84,"A"
"exp","452","1402020090",6,11,13,56.58,149,"1402020090",0.357142857142857,0.357142857142857,0.5,0.5,NA,56.58,84.4286,100,78,57.955,96.5,83.38,"A"
"exp","453","1402020089",14,20,19,92.11,1,"1402020089",1,1,0.833333333333333,0.833333333333333,NA,92.11,100,100,83.866,91.6225,95.5,94.2,"A"
"exp","455","1402020033",9,14,15,52.63,1,"1402020033",0.454545454545455,0.454545454545455,0.545454545454545,0.545454545454545,NA,52.63,85.5,100,75.3,58.2275,93.5,82.51,"A"
"exp","456","1402020113",12,13,17,63.16,58,"1402020113",0.125,0.125,0.625,0.625,NA,63.16,78.6429,100,85.866,66.75,71.5,80.55,"A"
"exp","458","1402020107",12,18,17,52.63,94,"1402020107",0.75,0.75,0.625,0.625,NA,52.63,60.7143,100,71.9,51.5175,45,65.83,"B"
"exp","459","1402019006",10,10,NA,31.58,0,"1402019006",0,0,NA,NA,NA,31.58,11.2143,60.5,43.9,51.8125,53,44.09,"CD"
"exp","461","1402020074",5,13,12,21.05,0,"1402020074",0.533333333333333,0.533333333333333,0.466666666666667,0.466666666666667,NA,21.05,79.0714,85.5,68.934,69.2375,82,76.95,"A-"
"exp","462","1402019074",11,12,16,40.79,25,"1402019074",0.111111111111111,0.111111111111111,0.555555555555556,0.555555555555556,NA,40.79,87.6429,100,76.166,75.8575,50.5,78.03,"A-"
"exp","464","1402020081",11,13,18,46.05,50,"1402020081",0.222222222222222,0.222222222222222,0.777777777777778,0.777777777777778,NA,46.05,87.1429,100,71.8,49.765,45,70.74,"B+"
"exp","465","1402020087",15,16,16,50,40,"1402020087",0.2,0.2,0.2,0.2,NA,50,65.2857,61,67.566,61.225,59,62.82,"B-"
"exp","467","1402019005",12,10,13,82.89,228,"1402019005",-0.166666666666667,-0.25,0.125,0.125,NA,82.89,52.8571,100,64.1,77.295,60,70.85,"B+"
"exp","468","1402020019",7,16,16,55.26,0,"1402020019",0.692307692307692,0.692307692307692,0.692307692307692,0.692307692307692,NA,55.26,65,100,76.066,49.91,82.5,74.7,"AB"
"exp","469","1402020117",17,16,18,89.47,90,"1402020117",-0.0588235294117647,-0.333333333333333,0.333333333333333,0.333333333333333,NA,89.47,100,100,69.7,74.335,95.5,87.91,"A"
"exp","470","1402020039",9,9,17,32.89,0,"1402020039",0,0,0.727272727272727,0.727272727272727,NA,32.89,87.8571,100,71.1,50.475,93,80.49,"A"
"exp","471","1402019098",12,13,18,96.05,127,"1402019098",0.125,0.125,0.75,0.75,NA,96.05,74.2857,100,64,73.225,50,72.3,"B+"
"exp","472","1402020052",9,14,12,81.58,160,"1402020052",0.454545454545455,0.454545454545455,0.272727272727273,0.272727272727273,NA,81.58,73.3571,100,57.366,50.82,68.5,70.01,"B+"
"exp","473","1402020124",10,8,12,13.16,82,"1402020124",-0.2,-0.2,0.2,0.2,NA,13.16,79.2857,90,65.7,48.68,45.5,65.83,"B"
"exp","474","1402020025",15,14,10,26.32,136,"1402020025",-0.0666666666666667,-0.2,-0.333333333333333,-1,NA,26.32,71.4286,85,62.966,78.8025,55,70.64,"B+"
"exp","476","1402020111",6,19,16,43.42,119,"1402020111",0.928571428571429,0.928571428571429,0.714285714285714,0.714285714285714,NA,43.42,81.4286,100,67.4,39.045,38,65.17,"B"
"exp","477","1402020054",5,12,11,1.32,46,"1402020054",0.466666666666667,0.466666666666667,0.4,0.4,NA,1.32,65.5,70.5,57.666,55.1125,75.5,64.86,"B-"
"exp","477","1402020054",5,12,11,38.16,46,"1402020054",0.466666666666667,0.466666666666667,0.4,0.4,NA,38.16,65.5,70.5,57.666,55.1125,75.5,64.86,"B-"
"exp","478","1402020007",8,6,7,47.37,80,"1402020007",-0.25,-0.166666666666667,-0.125,-0.0833333333333333,NA,47.37,32.1429,92,42.334,24.3775,85,55.17,"C+"
"exp","479","1402019038",12,11,12,35.53,124,"1402019038",-0.0833333333333333,-0.125,0,0,NA,35.53,56.4286,100,50.4,68.19,40,63,"B-"
"exp","480","1402020067",12,18,10,47.37,50,"1402020067",0.75,0.75,-0.166666666666667,-0.25,NA,47.37,55.7143,100,57.966,52.4075,38,60.82,"BC"
"exp","483","1402019099",6,6,10,19.74,81,"1402019099",0,0,0.285714285714286,0.285714285714286,NA,19.74,8.57143,95,51.1,26.6225,57.5,47.76,"C-"
"exp","485","1402020064",7,9,7,36.84,68,"1402020064",0.153846153846154,0.153846153846154,0,0,NA,36.84,49.2857,95,54.234,68.9125,72.5,67.99,"B"
"exp","486","1402019046",11,16,16,67.11,17,"1402019046",0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,NA,67.11,76.4286,100,63.766,73.5925,60,74.76,"AB"
"exp","487","1402019021",8,12,13,9.21,33,"1402019021",0.333333333333333,0.333333333333333,0.416666666666667,0.416666666666667,NA,9.21,32.8571,100,48.4,29.96,0,42.24,"D+"
"exp","488","1402020128",8,8,6,9.21,0,"1402020128",0,0,-0.25,-0.166666666666667,NA,9.21,0,55,41.1,26.97,50,34.61,"E"
"exp","490","1402020072",12,14,9,38.16,17,"1402020072",0.25,0.25,-0.25,-0.375,NA,38.16,52.8571,90,46.466,47.68,50,57.4,"C+"
"exp","491","1402017066",9,10,13,63.16,103,"1402017066",0.0909090909090909,0.0909090909090909,0.363636363636364,0.363636363636364,NA,63.16,42.16,100,56,55.0396,56.56,61.95,"C"
"exp","492","1402017065",11,10,9,31.58,2,"1402017065",-0.0909090909090909,-0.111111111111111,-0.181818181818182,-0.222222222222222,NA,31.58,50.4,100,45.696,33.2052,56,57.06,"C"
"exp","493","1402017036",8,9,6,17.11,2,"1402017036",0.0833333333333333,0.0833333333333333,-0.25,-0.166666666666667,NA,17.11,0,16.8,31.8461,0,0,9.73,"E"
"exp","496","1402020066",4,11,10,31.58,0,"1402020066",0.4375,0.4375,0.375,0.375,NA,31.58,15,80,35.066,21.0475,50,40.22,"D+"
"exp","501","1402018056",8,4,NA,22.37,0,"1402018056",-0.5,-0.333333333333333,NA,NA,NA,22.37,7.14286,62.5,19.734,19.3225,80,37.74,"D"
"exp","502","1402018187",7,6,11,14.47,26,"1402018187",-0.142857142857143,-0.0769230769230769,0.307692307692308,0.307692307692308,NA,14.47,24.2857,100,37.4,6.705,85,50.68,"C"
